Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Liquidity_State,Leverage_State,Efficiency_State,Size_State,Profitability_State
DMC,Dược phẩm DOMESCO,HOSE,Dược phẩm và Y tế,2022,0.7995628087353776,-0.5202686695019626,-0.1088474671868535,0.3316828715361968,0.3565951827871085,Cao,Thấp,Trung bình,Trung bình,Trung bình
DMC,Dược phẩm DOMESCO,HOSE,Dược phẩm và Y tế,2023,1.2671146944174951,-0.2811680422781094,0.1232308742104394,0.1809010324219911,0.2632936393825014,Cao,Trung bình,Trung bình,Trung bình,Trung bình
DMC,Dược phẩm DOMESCO,HOSE,Dược phẩm và Y tế,2024,2.0750628531876263,-0.43390506205315,0.7391858603440267,0.2670174261666511,0.6217758243412478,Cao,Trung bình,Cao,Trung bình,Cao
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,2020,-0.4270628652899273,0.3583973247865204,,0.7324933901991877,0.1360471574087839,Trung bình,Trung bình,Không xác định,Cao,Trung bình
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,2021,-0.1927176352075599,0.5186424283884591,-0.1881191396760071,0.7904843792687929,0.6016611944266507,Trung bình,Cao,Trung bình,Cao,Cao
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,2022,-0.1216427092505954,0.15566106939793,-0.1677279225349636,0.8222255531654471,0.2891964344231784,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,2023,-0.2269632574799241,0.2975469400508131,-0.1660526468454384,0.8742569400581324,0.0347961954481375,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DPG,Tập đoàn Đạt Phương,HOSE,Công nghiệp,2024,-0.342882573348995,0.0428625371261434,-0.2111727627811511,0.7738751775231569,0.0215780734699216,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,Nguyên vật liệu,2020,0.2125834021461642,-0.3136623060844306,,1.1962657991609542,0.0909483466074501,Trung bình,Trung bình,Không xác định,Cao,Trung bình
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,Nguyên vật liệu,2021,0.5550446740606109,-0.4245740141903729,0.2644706345394243,1.2558908019030293,1.7274755563478046,Cao,Trung bình,Trung bình,Cao,Cao
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,Nguyên vật liệu,2022,0.1209275357921765,-0.388398492075467,0.2305942586200353,1.4376891282129023,1.8779403956713736,Trung bình,Trung bình,Trung bình,Cao,Cao
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,Nguyên vật liệu,2023,0.8223167275413483,-0.2736911497567234,0.4573034710751127,1.2898981413802506,0.0941301932045629,Cao,Trung bình,Trung bình,Cao,Trung bình
DPM,Tổng Công ty Phân bón và Hóa chất Dầu khí,HOSE,Nguyên vật liệu,2024,-0.1816428149728222,-0.3053773740141831,0.1025659502017572,1.256188444631373,-0.1005892658045138,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DPR,Cao su Đồng Phú,HOSE,Nguyên vật liệu,2020,0.0308070821765224,-0.1789306233375161,,0.1815764325726168,0.2465099199017239,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
DPR,Cao su Đồng Phú,HOSE,Nguyên vật liệu,2021,0.5361326149294331,-0.3393453769092568,0.0129149631936239,0.1517721803206504,1.2162995628393425,Cao,Trung bình,Trung bình,Trung bình,Cao
DPR,Cao su Đồng Phú,HOSE,Nguyên vật liệu,2022,0.3979460729664936,-0.3268098977987804,-0.1768354061765877,0.0577973043501573,0.521993341643944,Trung bình,Trung bình,Trung bình,Trung bình,Cao
DPR,Cao su Đồng Phú,HOSE,Nguyên vật liệu,2023,1.4863688918220117,-0.2092495361093243,-0.1614047455886811,0.0519138371292838,0.7710534320827568,Cao,Trung bình,Trung bình,Trung bình,Cao
DPR,Cao su Đồng Phú,HOSE,Nguyên vật liệu,2024,0.8309919179762367,-0.3595855533557159,-0.1815817548095141,0.1125353239753824,0.3186004284937495,Cao,Trung bình,Trung bình,Trung bình,Trung bình
DQC,Tập đoàn Điện Quang,HOSE,Hàng Tiêu dùng,2020,-0.0282149963517674,-0.115600151729954,,-0.5052502861791164,-0.6298531184409212,Trung bình,Trung bình,Không xác định,Thấp,Thấp
DQC,Tập đoàn Điện Quang,HOSE,Hàng Tiêu dùng,2021,-0.1243253978037142,-0.398023842402214,-0.4966338703659387,-0.6366558864780867,-0.6343712543544798,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DQC,Tập đoàn Điện Quang,HOSE,Hàng Tiêu dùng,2022,-0.3226900075288541,0.0389618771290399,-0.4182022686240778,-0.5943945431016123,-0.3002898779182681,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DQC,Tập đoàn Điện Quang,HOSE,Hàng Tiêu dùng,2023,-0.3285992732968438,-0.0279400454785501,-0.2178769840725444,-0.6409369901505968,-0.6015986601124396,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DQC,Tập đoàn Điện Quang,HOSE,Hàng Tiêu dùng,2024,-0.2400862138051315,-0.1569615718877108,-0.4043220361600845,-0.6906786655722653,-1.0714392602690588,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,2020,-0.2859770968586413,-0.3410531189790907,,0.188348547769042,0.3318786421860141,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,2021,-0.3361772485519381,-0.260602268859052,-0.0869611636094798,0.3063642566440491,0.3566297047909868,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,2022,-0.3923486961446227,-0.119244721178571,0.2116988511601451,0.2851011314917013,0.2764741096113983,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,2023,-0.3227482439363638,0.0044688388736666,0.3027548032287229,0.2537051574225584,0.1955177270893214,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
DRC,Cao su Đà Nẵng,HOSE,Hàng Tiêu dùng,2024,-0.3369151242625703,0.1436250425936518,-0.1707537500082987,0.3093926234853078,0.0853726852345235,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
DRH,DRH Holdings,HOSE,Tài chính,2020,-0.4909572310639726,0.1467659661944,,-0.9614157313837834,0.228641271538104,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
DRH,DRH Holdings,HOSE,Tài chính,2021,-0.6622525956055677,0.0797878345547052,-0.3409367686610551,-1.054220616613884,-0.3756869273354725,Thấp,Trung bình,Trung bình,Thấp,Trung bình
DRH,DRH Holdings,HOSE,Tài chính,2022,-0.4420428672125774,-0.1484782995895435,-0.3378884391996674,-0.9656140662711544,-0.3211346931027788,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DRH,DRH Holdings,HOSE,Tài chính,2023,-0.2363258366807941,-0.0295080054799771,-0.4608021199563918,-1.2877311800488107,-2.870963368003604,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DRH,DRH Holdings,HOSE,Tài chính,2024,-0.2091570688697157,0.0319131877832756,-0.3815918484633123,-1.580112588826884,-3.5236638265883298,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,2020,3.591523136704882,-0.5536264887685333,,-1.7333816827286688,3.344248152098247,Cao,Thấp,Không xác định,Thấp,Cao
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,2021,1.9457237323471188,-0.7295645140182888,-0.0992966387328551,-1.8451562178765728,3.209287711006096,Cao,Thấp,Trung bình,Thấp,Cao
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,2022,0.846902456847855,-0.5336298725771682,-0.0636408675120996,-1.8453683698648928,2.936720883598786,Cao,Thấp,Trung bình,Thấp,Cao
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,2023,0.6625093170532711,-0.3756827470322915,-0.0928918827107037,-1.8700667368742687,3.243820744620869,Cao,Trung bình,Trung bình,Thấp,Cao
DRL,Thủy điện - Điện lực 3,HOSE,Tiện ích Cộng đồng,2024,0.5692142819969316,-0.4397105477661682,-0.1004467379987012,-1.874139436398634,2.2450989771484005,Cao,Trung bình,Trung bình,Thấp,Cao
DSC,Chứng khoán DSC,HOSE,Tài chính,2023,-0.2299458686805561,-0.3951727281800701,,-0.3006365416767574,-0.0104646096923131,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
DSC,Chứng khoán DSC,HOSE,Tài chính,2024,-0.1852219749385744,0.0106264379694965,,-0.1993935629306532,0.1316910093728735,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
DSE,Chứng Khoán DNSE,HOSE,Tài chính,2023,-0.2299600993768739,-0.1470723171348916,,0.0247721419001407,0.0668958581570867,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
DSE,Chứng Khoán DNSE,HOSE,Tài chính,2024,-0.1941423281763289,0.0736511276720122,,0.1216382917098354,0.0326724967066623,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,2020,2.821085330406316,-0.3899679088990647,,-1.215823685716797,0.936888978721095,Cao,Trung bình,Không xác định,Thấp,Cao
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,2021,1.69489315453576,-0.2767114426509532,-0.2880343552593392,-1.505069264754431,1.2830434479686152,Cao,Trung bình,Trung bình,Thấp,Cao
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,2022,1.7203654050068604,-0.2313901054264614,-0.1119781774072601,-0.9806827916400408,1.5681536178994275,Cao,Trung bình,Trung bình,Thấp,Cao
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,2023,1.238211951245778,-0.2391606708030348,-0.1423603678114083,-0.9256888615431834,2.196935417050484,Cao,Trung bình,Trung bình,Thấp,Cao
DSN,Công viên nước Đầm Sen,HOSE,Dịch vụ Tiêu dùng,2024,0.0350998951479302,-0.1976533409071123,-0.0860976190390263,-0.9650047569171863,1.596624256929103,Trung bình,Trung bình,Trung bình,Thấp,Cao
DTA,BĐS Đệ Tam,HOSE,Tài chính,2020,-0.2734506524412787,0.1292321546389129,,-1.6860574620684052,-1.4159080739116912,Trung bình,Trung bình,Không xác định,Thấp,Thấp
DTA,BĐS Đệ Tam,HOSE,Tài chính,2021,-0.4764964709672581,0.389605141039671,-0.1869391762379849,-1.4583849740603254,-0.3515818675136315,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DTA,BĐS Đệ Tam,HOSE,Tài chính,2022,-0.5859747468263908,0.8976335203535727,-0.1331220165773995,-1.336431305958789,-0.1028643043778308,Thấp,Cao,Trung bình,Thấp,Trung bình
DTA,BĐS Đệ Tam,HOSE,Tài chính,2023,-0.2764782118716296,0.2574913651297928,-0.1458242162599233,-1.2743503777364076,-0.458714607162263,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DTA,BĐS Đệ Tam,HOSE,Tài chính,2024,-0.236711113805873,-0.044560263699193,0.1002208633820479,-1.252635309411117,-0.0811531325266372,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,2020,-0.3213410178968148,0.2784657060618047,,0.1962995687731242,-0.4832851563461682,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,2021,-0.3679597991376258,-0.1823793922571728,-0.1044113365656824,-0.0827993665748692,-0.6053531332472568,Trung bình,Trung bình,Trung bình,Trung bình,Thấp
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,2022,-0.3428852881666949,0.139127205215525,-0.3514284949913502,-0.0497209862573792,-0.909331209579503,Trung bình,Trung bình,Trung bình,Trung bình,Thấp
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,2023,-0.4937967052901618,0.1300286251010336,-0.1379592775123552,0.006790735571632,-1.1719875160906363,Trung bình,Trung bình,Trung bình,Trung bình,Thấp
DTL,Đại Thiên Lộc,HOSE,Nguyên vật liệu,2024,-0.4229870793711215,-1.006579596085294,-0.1583454950145981,0.0062720414098308,-0.4504384975910434,Trung bình,Thấp,Trung bình,Trung bình,Trung bình
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,2020,0.091528752422346,-0.3261571177432736,,-1.5882656249635825,-0.0621529886683187,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,2021,0.0609057496986143,-0.4326130744137136,-0.1126947814686627,-1.5892399531187864,-0.7658397072762083,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,2022,-0.0112810450912041,-0.3754168306500576,-0.0738582675400582,-1.667200695839577,0.0976957418690027,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,2023,0.0713989006237389,-0.2290527813240217,-0.0902338252347433,-1.663584696070251,0.2004929895575199,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DTT,Kỹ nghệ Đô Thành,HOSE,Nguyên vật liệu,2024,0.0084940739443044,-0.3723581543992535,-0.0701357456339377,-1.5158151268181577,0.1413131979673593,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,2020,2.104764406005815,-0.505892979678678,,-0.1815689426095288,0.6906097386546799,Cao,Thấp,Không xác định,Trung bình,Cao
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,2021,0.5818147601407012,-0.4792744201912867,-0.1022161547018462,-0.1765552123969272,1.0379467834024043,Cao,Trung bình,Trung bình,Trung bình,Cao
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,2022,0.8846657762670321,-0.416646615894039,-0.1849975989518062,-0.2781530827451269,0.7122707109768828,Cao,Trung bình,Trung bình,Trung bình,Cao
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,2023,0.0581776659216787,-0.4029413960059209,-0.0612028313891203,-0.2332126236032565,2.182589256033165,Trung bình,Trung bình,Trung bình,Trung bình,Cao
DVP,ĐT và PT Cảng Đình Vũ,HOSE,Công nghiệp,2024,1.0026677750936328,-0.5210353948747276,-0.1014105512180751,-0.1802514937940237,0.8955716585715369,Cao,Thấp,Trung bình,Trung bình,Cao
DXG,Địa ốc Đất Xanh,HOSE,Tài chính,2020,-0.2205181603114681,0.0154060133724253,,0.8869215365693024,-1.3712509593186626,Trung bình,Trung bình,Không xác định,Cao,Thấp
DXG,Địa ốc Đất Xanh,HOSE,Tài chính,2021,-0.2246024941318053,-0.2031159560590624,0.108326841326005,1.1803193159974272,0.0127289759244973,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DXG,Địa ốc Đất Xanh,HOSE,Tài chính,2022,-0.2705438300619835,-0.6821904627640216,-0.1434826904257677,1.0127160744574517,-0.0607622480611894,Trung bình,Thấp,Trung bình,Cao,Trung bình
DXG,Địa ốc Đất Xanh,HOSE,Tài chính,2023,-0.2003837728144091,-0.2439753237930996,-0.2615184596822536,0.906069195453425,-0.410718461839137,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DXG,Địa ốc Đất Xanh,HOSE,Tài chính,2024,-0.1297313584898875,-0.4974195808238112,-0.0827485628813127,0.9036350948555012,0.0063192558313054,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DXS,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính,2020,0.0231908698429123,-0.2072869724019218,,0.6525779246654133,1.002874514754272,Trung bình,Trung bình,Không xác định,Cao,Cao
DXS,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính,2021,-0.0634436460691513,-0.3047545026803197,-0.0003469800256598,0.7143638252900313,0.0487258990273067,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DXS,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính,2022,-0.1936453866312492,-0.1448943722745064,-0.0305006021313926,0.7168994568433724,0.1274005371509037,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DXS,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính,2023,-0.1821647288396146,-0.286503238994049,-0.2677678330899269,0.5355610666953695,-0.6748845017116002,Trung bình,Trung bình,Trung bình,Cao,Thấp
DXS,Dịch vụ BĐS Đất Xanh,HOSE,Tài chính,2024,-0.1339769128098372,-0.1612349757879904,-0.0981287211042663,0.5125837174869421,0.0126076689296341,Trung bình,Trung bình,Trung bình,Cao,Trung bình
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,2020,0.7249843367213623,-0.4591560452776184,,-1.3995548248006762,-0.4027322897242391,Cao,Trung bình,Không xác định,Thấp,Trung bình
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,2021,0.2958564668272611,-0.4333172560698022,0.1654706963935246,-1.4509086529415125,-0.7083406314371476,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,2022,0.1099063198987193,-0.308144757179388,0.1622592203250423,-1.4784914291984026,-0.3789128290032734,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,2023,0.0443638493481814,-0.3671701809343971,0.1467983771219513,-1.539710228368936,-1.3474126169649772,Trung bình,Trung bình,Trung bình,Thấp,Thấp
DXV,Vật liệu Xây dựng Đà Nẵng,HOSE,Công nghiệp,2024,0.2008141565109952,-0.4502691482180915,0.1385351053945642,-1.4942076291961772,-0.7909081172414504,Trung bình,Trung bình,Trung bình,Thấp,Thấp
EIB,Eximbank,HOSE,Ngân hàng,2020,,-0.0138761759493019,,-0.5971947451452979,,Không xác định,Trung bình,Không xác định,Thấp,Không xác định
EIB,Eximbank,HOSE,Ngân hàng,2021,,0.568500302075442,,-0.7084482788381331,,Không xác định,Cao,Không xác định,Thấp,Không xác định
EIB,Eximbank,HOSE,Ngân hàng,2022,,-0.2973706486903005,,-0.6823563399172926,,Không xác định,Trung bình,Không xác định,Thấp,Không xác định
EIB,Eximbank,HOSE,Ngân hàng,2023,,0.12954661433528,,-0.6976744684332239,,Không xác định,Trung bình,Không xác định,Thấp,Không xác định
EIB,Eximbank,HOSE,Ngân hàng,2024,,-0.1702563142639357,,-0.7017071103828749,,Không xác định,Trung bình,Không xác định,Thấp,Không xác định
ELC,ELCOM,HOSE,Công nghệ Thông tin,2020,1.0886947164172287,-0.5725291260684008,,-0.5426743741787999,-0.6360125632434007,Cao,Thấp,Không xác định,Thấp,Thấp
ELC,ELCOM,HOSE,Công nghệ Thông tin,2021,1.9820184083843384,-0.8846896163763901,0.6592388905569551,-0.7092633300478748,-0.1045258790770551,Cao,Thấp,Cao,Thấp,Trung bình
ELC,ELCOM,HOSE,Công nghệ Thông tin,2022,0.4173563262971657,-0.3979455904096237,-0.1020931269417303,-0.6102311741180153,-0.4286996446879378,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
ELC,ELCOM,HOSE,Công nghệ Thông tin,2023,-0.3473862296530202,0.1449238995845697,-0.0306064766105471,-0.2467484803411216,0.2757798433851813,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
ELC,ELCOM,HOSE,Công nghệ Thông tin,2024,1.1131950851504715,-0.3553130335165912,-0.2435890750365485,-0.5677885189226213,0.4539547521975038,Cao,Trung bình,Trung bình,Thấp,Trung bình
EVE,Everpia,HOSE,Hàng Tiêu dùng,2020,1.844506248312552,-0.2944760468235491,,-0.5547232752351712,-0.3927737019887074,Cao,Trung bình,Không xác định,Thấp,Trung bình
EVE,Everpia,HOSE,Hàng Tiêu dùng,2021,0.2096702624773728,-0.5087480535333755,-0.3145311878029311,-0.6160863862091139,-0.2431878625849893,Trung bình,Thấp,Trung bình,Thấp,Trung bình
EVE,Everpia,HOSE,Hàng Tiêu dùng,2022,0.1308539027935946,-0.3424628727767545,-0.2441974241946037,-0.5906016794289004,0.0722666375233796,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
EVE,Everpia,HOSE,Hàng Tiêu dùng,2023,-0.0072320556546057,-0.0272109406942858,-0.3217770048570072,-0.6950951823959598,-0.2338487111533708,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
EVE,Everpia,HOSE,Hàng Tiêu dùng,2024,-0.0367589451775564,-0.3775945152333618,-0.3590040384089276,-0.737720832783201,-0.5859992466543565,Trung bình,Trung bình,Trung bình,Thấp,Thấp
EVF,Tài chính Điện lực,HOSE,Tài chính,2020,,1.817954759549384,,-1.3429606083922718,,Không xác định,Cao,Không xác định,Thấp,Không xác định
EVF,Tài chính Điện lực,HOSE,Tài chính,2021,,2.13275788109717,,-1.3851008791541792,,Không xác định,Cao,Không xác định,Thấp,Không xác định
EVF,Tài chính Điện lực,HOSE,Tài chính,2022,,2.609305376193105,,-1.2554843867377334,,Không xác định,Cao,Không xác định,Thấp,Không xác định
EVF,Tài chính Điện lực,HOSE,Tài chính,2023,,1.168540400892618,,-1.0166035700351754,,Không xác định,Cao,Không xác định,Thấp,Không xác định
EVF,Tài chính Điện lực,HOSE,Tài chính,2024,,1.6045937773501815,,-1.006343150149135,,Không xác định,Cao,Không xác định,Thấp,Không xác định
EVG,Tập đoàn Everland,HOSE,Công nghiệp,2020,-0.2581936300212051,-0.3602703691220548,,-0.1742761473191925,-0.2760524227317639,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
EVG,Tập đoàn Everland,HOSE,Công nghiệp,2021,-0.0042337613288449,-0.3703922850774727,1.9044844623069055,0.083254373212202,-0.6168073031643709,Trung bình,Trung bình,Cao,Trung bình,Thấp
EVG,Tập đoàn Everland,HOSE,Công nghiệp,2022,1.9091296923984145,-0.4269532314091266,0.8156649972261506,0.1951465220003164,-0.3320737353625296,Cao,Trung bình,Cao,Trung bình,Trung bình
EVG,Tập đoàn Everland,HOSE,Công nghiệp,2023,0.1952912928558359,-0.3060135213627993,1.625628773299992,0.2774044398997927,-0.5676592469366736,Trung bình,Trung bình,Cao,Trung bình,Thấp
EVG,Tập đoàn Everland,HOSE,Công nghiệp,2024,0.098289677549665,-0.1761566421375127,1.6137313516558267,0.3684668785155541,-0.3925981572211849,Trung bình,Trung bình,Cao,Trung bình,Trung bình
FCM,Khoáng sản FECON,HOSE,Công nghiệp,2020,-0.0576205378379409,-0.3753710416650458,,-0.3582205385919355,-0.1634875185937061,Trung bình,Trung bình,Không xác định,Trung bình,Trung bình
FCM,Khoáng sản FECON,HOSE,Công nghiệp,2021,-0.1058957291140423,-0.326997672654116,-0.1844068172955912,-0.4139210278604558,-0.559351188913938,Trung bình,Trung bình,Trung bình,Trung bình,Thấp
FCM,Khoáng sản FECON,HOSE,Công nghiệp,2022,-0.15243117247443,-0.2671016438744675,-0.2017638724152314,-0.4902074314704279,-0.231801892642594,Trung bình,Trung bình,Trung bình,Trung bình,Trung bình
FCM,Khoáng sản FECON,HOSE,Công nghiệp,2023,-0.0965445159102444,-0.3192130393186072,-0.2599647412137396,-0.5517189371285156,-0.4618767180441951,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
FCM,Khoáng sản FECON,HOSE,Công nghiệp,2024,0.4301231800540004,-0.4816804963418474,-0.2128661415735362,-0.6356642832812978,-0.4547151554091752,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
FCN,FECON CORP,HOSE,Công nghiệp,2020,-0.4056698976674628,0.1740655436008694,,0.9875252798655972,-0.2174254526130985,Trung bình,Trung bình,Không xác định,Cao,Trung bình
FCN,FECON CORP,HOSE,Công nghiệp,2021,-0.2870486662256714,-0.0458176678383865,-0.2918190012919824,0.9759067111637572,-0.5973248297706232,Trung bình,Trung bình,Trung bình,Cao,Thấp
FCN,FECON CORP,HOSE,Công nghiệp,2022,-0.3959423793621841,-0.7072340577832956,-0.3110687608651467,0.8711699478025647,-0.3378516227155983,Trung bình,Thấp,Trung bình,Cao,Trung bình
FCN,FECON CORP,HOSE,Công nghiệp,2023,-0.3596021094665065,0.1505830049287274,-0.3771751367682627,0.9089126849376236,-0.7942885075019984,Trung bình,Trung bình,Trung bình,Cao,Thấp
FCN,FECON CORP,HOSE,Công nghiệp,2024,-0.5237464380955306,0.0339210331920316,-0.4066271178428436,0.9080843034746796,-0.4299647860529996,Thấp,Trung bình,Trung bình,Cao,Trung bình
FDC,FIDECO,HOSE,Tài chính,2020,-0.4187780976645219,-0.2840840733049727,,-1.0417806139279646,-1.745036704334506,Trung bình,Trung bình,Không xác định,Thấp,Thấp
FDC,FIDECO,HOSE,Tài chính,2021,0.5187320133055463,-0.5704376612173034,,-1.240949005738935,-0.4678929078781126,Cao,Thấp,Không xác định,Thấp,Trung bình
FDC,FIDECO,HOSE,Tài chính,2022,-0.5627693357709456,-0.4085441933231834,,-1.9521258618221384,-6.581004346224238,Thấp,Trung bình,Không xác định,Thấp,Thấp
FDC,FIDECO,HOSE,Tài chính,2023,-0.2704032348873126,-0.3300965112291327,,-1.711097240698348,-0.4791542337087329,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
FDC,FIDECO,HOSE,Tài chính,2024,-0.1760350054542467,-0.0723123881030247,,-1.562247015501789,-0.0550849939472983,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
FIR,Địa ốc First Real,HOSE,Tài chính,2020,-0.0811154537633749,-0.349174371673969,,-1.3202575456842227,0.1809830405486002,Trung bình,Trung bình,Không xác định,Thấp,Trung bình
FIR,Địa ốc First Real,HOSE,Tài chính,2021,-0.1774479146379508,-0.4505519202760086,0.1030627626180529,-1.236712295461027,0.2880915417737821,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
FIR,Địa ốc First Real,HOSE,Tài chính,2022,-0.1460100099752991,-0.2412559191992993,0.1676414909457036,-0.8448237093492338,0.7576930126089559,Trung bình,Trung bình,Trung bình,Thấp,Cao
FIR,Địa ốc First Real,HOSE,Tài chính,2023,-0.2078323995299252,-0.3265820286010117,-0.1005345411934025,-0.9263211420565908,-0.3296746936376454,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
FIR,Địa ốc First Real,HOSE,Tài chính,2024,-0.170686212811354,-0.3837555951427858,-0.2464557324176742,-1.2104756512628445,-0.2371710874539603,Trung bình,Trung bình,Trung bình,Thấp,Trung bình
FIT,Tập đoàn F.I.T,HOSE,Tài chính,2020,0.839763701551523,-0.4072078993016292,,0.0937436367872729,-0.8243779775252148,Cao,Trung bình,Không xác định,Trung bình,Thấp
FIT,Tập đoàn F.I.T,HOSE,Tài chính,2021,0.3094277413229307,-0.567036054236009,-0.1234606502688287,0.0187898199969843,-0.1555795463000643,Trung bình,Thấp,Trung bình,Trung bình,Trung bình
FIT,Tập đoàn F.I.T,HOSE,Tài chính,2022,0.6061900657932022,-0.4432280237760657,-0.0036786751668536,0.20029323659069,-0.211749306106889,Cao,Trung bình,Trung bình,Trung bình,Trung bình
FIT,Tập đoàn F.I.T,HOSE,Dược phẩm và Y tế,2023,0.0986524616508475,-1.1661719863042224,-0.9954990736845984,1.2868424983224436,-1.7416594249402042,Trung bình,Thấp,Thấp,Cao,Thấp
FIT,Tập đoàn F.I.T,HOSE,Dược phẩm và Y tế,2024,0.2347748224217682,-0.0558946140308044,-0.887272518872076,1.426129144231196,-0.6726766005292647,Trung bình,Trung bình,Thấp,Cao,Thấp
