Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2023,-0.3997087442170712,-0.08625439725960758,-0.2739746900878365,-0.044257117681716085,-0.17860734518206325
ACC,Đầu tư và XD Bình Dương ACC,HOSE,Công nghiệp,2024,-0.595538564654691,4.558626759040099,-0.2605737294656549,0.04145016847334966,-0.2931965505997101
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2020,0.021034373024281572,-0.3566295587914654,,0.622482597869272,0.5471527637215459
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2021,-0.12437764495198868,-0.4122361217890767,-0.259774602056931,0.5077688638047023,0.18444804969690046
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2022,-0.16689653738620905,-0.32557464440828393,-0.2417729816018932,0.5698286236746609,0.5698470557507178
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2023,-0.1589454443244462,-0.22694266106804123,-0.2309608057474327,0.5620984844960262,0.5829062877678092
ACG,Gỗ An Cường,HOSE,Nguyên vật liệu,2024,-0.21110385918532848,-0.3594626192467396,-0.19542402553808158,0.5327824225037362,0.24962043563236858
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2020,-0.6501192883250771,0.6639117965321597,,-0.4409654927112686,-0.5229365720792493
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2021,-0.3464778434430859,-0.0772180213405189,-0.11303365519330998,-0.44233376255295553,-0.43395941613875566
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2022,-0.4243642101569359,-0.13221981599744603,-0.1796296544847299,-0.5372065587654387,0.22738289766001754
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2023,-0.44771225935039594,-0.09345295915865796,-0.3974899257759028,-0.4777494915815133,-0.31587690053376766
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2024,-0.3237213667783661,0.5963159270649624,-0.006493228173538451,-0.35580714984760514,-0.31772785822576194
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2020,-0.439011599028394,-0.16356196791515784,,-0.6180070155869379,0.41459590179835093
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2021,-0.3953863107165005,-0.2312872967871123,0.08378642702708365,-0.5613863315027555,0.32086844052780017
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2022,-0.13733688891817267,-0.18770933927846067,-0.15968327786270195,-0.6848316136932839,0.14142159444003088
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2023,-0.19590473815258255,-0.06216205384778131,0.018815663163254268,-0.7404161732836761,-0.19394595570285303
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2024,-0.29155067568879056,-0.11988007736681733,-0.13844804936464417,-0.7220433041078871,-0.24931480937277742
ADP,Sơn Á Đông,HOSE,Công nghiệp,2020,0.33282889956411066,-0.45639533082389216,,-0.6997818587514928,1.178689060075791
ADP,Sơn Á Đông,HOSE,Công nghiệp,2021,0.07758702652915926,-0.4354630745438038,0.23464933472070773,-0.8623521267195084,0.7463378292992138
ADP,Sơn Á Đông,HOSE,Công nghiệp,2022,-0.1275713890965318,-0.33444802407649854,0.27024360304641193,-0.803038390255976,0.27511663043286577
ADP,Sơn Á Đông,HOSE,Công nghiệp,2023,-0.12080110469166455,-0.34437895990461254,0.3909103472636918,-0.7918907176736629,0.8766414435791585
ADP,Sơn Á Đông,HOSE,Công nghiệp,2024,-0.12859745877842957,-0.4368933508094956,0.906388538425452,-0.6881845373249434,1.2494475224068273
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2020,-0.570510033452018,1.6258329587520506,,-0.27920679000289506,-0.5195633618081892
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2021,-0.2980877169714454,0.6285100353948964,-0.3272465863609475,-0.24796533538300597,0.1382579668889717
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2022,-0.4086231667131616,0.6549575006969245,-0.003553717291552988,-0.25968257322976396,-0.03736095398281647
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2023,-0.3658486695918108,0.07466894122921214,-0.3982047261543399,-0.20882271937583466,-0.07571994589675594
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2024,-0.27870593629289925,0.3215931452621765,-0.2203596665771428,-0.21650441369094106,-0.15299147817290606
AGG,Bất động sản An Gia,HOSE,Tài chính,2020,-0.31796697723531825,0.5717229017333639,,0.42763127726134487,0.3497563093029005
AGG,Bất động sản An Gia,HOSE,Tài chính,2021,-0.48864587156901457,0.7532988337752511,-0.19784441421568288,0.39910797116687496,0.049235925535402646
AGG,Bất động sản An Gia,HOSE,Tài chính,2022,-0.37149470743149465,0.33814792241371505,0.8523689611078652,0.6882799929588994,-0.1427574517704613
AGG,Bất động sản An Gia,HOSE,Tài chính,2023,-0.19306819116783805,0.19945685644016026,0.4794387600837796,0.5335003446882752,0.521029475107218
AGG,Bất động sản An Gia,HOSE,Tài chính,2024,-0.1503191767248099,-0.06913342181810989,0.17632289590800213,0.20349245488604212,0.16495869265226096
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2020,-0.05548710367762275,-0.1142265640304095,,-0.46478736444917707,-0.44663873862024234
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2021,-0.21827198255947092,0.9670911797887497,0.39614225718604335,0.07186555993903924,-0.40393140182743387
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2022,-0.5249082557950279,1.0911897450117816,0.01207951887146555,-0.1321914593703116,-2.20649176068383
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2023,-0.6194260494584442,3.889555906605149,-0.3446872738658238,-0.7292538279211132,-4.605514736073681
AGM,XNK An Giang,HOSE,Hàng Tiêu dùng,2024,-0.4736872849058676,-1.971352510455276,-2.2479648310883187,-1.187707708098952,-2.55005252941993
AGR,Agriseco,HOSE,Tài chính,2020,1.9796090106568895,-0.4811003761588235,,-0.6896073964400753,0.0402045814946983
AGR,Agriseco,HOSE,Tài chính,2021,0.702124653408141,-0.629256836395545,,-0.5845237642514299,1.263809133132298
AGR,Agriseco,HOSE,Tài chính,2022,1.1007621722860386,-0.48764415130686883,,-0.580810195254279,0.2943301656539443
AGR,Agriseco,HOSE,Tài chính,2023,0.0365775250024142,-0.5172492476011549,,-0.45085565959707685,0.19293428695932668
