Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2023,-0.4477122593503959,-0.0934529591586579,-0.3974899257759028,-0.4777494915815133,-0.3158769005337676,-0.3464563072800475
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,2024,-0.3237213667783661,0.5963159270649624,-0.0064932281735384,-0.3558071498476051,-0.3177278582257619,-0.08148673519206182
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2021,-0.3953863107165005,-0.2312872967871123,0.0837864270270836,-0.5613863315027555,0.3208684405278001,-0.15668101429029693
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2022,-0.1373368889181726,-0.1877093392784606,-0.1596832778627019,-0.6848316136932839,0.1414215944400308,-0.20562790506251766
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2023,-0.1959047381525825,-0.0621620538477813,0.0188156631632542,-0.7404161732836761,-0.193945955702853,-0.23472265156472777
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,2024,-0.2915506756887905,-0.1198800773668173,-0.1384480493646441,-0.7220433041078871,-0.2493148093727774,-0.3042473831801833
ADP,Sơn Á Đông,HOSE,Công nghiệp,2021,0.0775870265291592,-0.4354630745438038,0.2346493347207077,-0.8623521267195084,0.7463378292992138,-0.04784820214284631
ADP,Sơn Á Đông,HOSE,Công nghiệp,2022,-0.1275713890965318,-0.3344480240764985,0.2702436030464119,-0.803038390255976,0.2751166304328657,-0.14393951398994573
ADP,Sơn Á Đông,HOSE,Công nghiệp,2023,-0.1208011046916645,-0.3443789599046125,0.3909103472636918,-0.7918907176736629,0.8766414435791585,0.0020962017145820687
ADP,Sơn Á Đông,HOSE,Công nghiệp,2024,-0.1285974587784295,-0.4368933508094956,0.906388538425452,-0.6881845373249434,1.249447522406827,0.18043214278388212
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2021,-0.2980877169714454,0.6285100353948964,-0.3272465863609475,-0.2479653353830059,0.1382579668889717,-0.021306327286306152
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2022,-0.4086231667131616,0.6549575006969245,-0.0035537172915529,-0.2596825732297639,-0.0373609539828164,-0.010852582104074068
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2023,-0.3658486695918108,0.0746689412292121,-0.3982047261543399,-0.2088227193758346,-0.0757199458967559,-0.19478542395790582
ADS,Dệt sợi DAMSAN,HOSE,Hàng Tiêu dùng,2024,-0.2787059362928992,0.3215931452621765,-0.2203596665771428,-0.216504413690941,-0.152991478172906,-0.10939366989434249
