Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Năm,Liquidity_Score,Leverage_Score,Efficiency_Score,Size_Score,Profitability_Score,Composite_Score,cluster_raw,cluster
HBC,Tập đoàn Xây dựng Hòa Bình,HOSE,Công nghiệp,2021,-0.303315451280768,0.3402873474435692,-0.2121767469144207,1.645733715837653,-0.6186718504034915,0.1703714029365084,1,2
HHV,Đầu tư Hạ tầng Giao thông Đèo Cả,HOSE,Công nghiệp,2021,-0.3782896180870669,0.4316668532929052,-0.4020556190554996,1.3441102897489503,-0.5479394773088425,0.0894984857180893,1,2
HID,Halcom Vietnam,HOSE,Công nghiệp,2021,-0.2118916976601779,-0.102363170613817,-0.4098977262341595,-0.3825924105132335,0.0236450173872988,-0.2166199975268178,0,0
HT1,VICEM Hà Tiên,HOSE,Công nghiệp,2021,-0.3825211362292697,-0.2068727730509914,0.3350937062875176,1.262389699977656,-0.2454839731400208,0.1525211047689783,1,2
HTI,PT Hạ tầng IDICO,HOSE,Công nghiệp,2021,-0.3699555152805818,0.6670664480815739,0.9575948762560932,-0.3515765534129127,-0.3213302063933073,0.116359809850173,0,0
HTV,Logistics Vicem,HOSE,Công nghiệp,2021,0.0063293635725233,-0.4002562047798629,-0.1664531988998236,-0.8750014079851816,-0.3141763447924804,-0.349911558576965,0,0
HU1,Xây dựng HUD1,HOSE,Công nghiệp,2021,-0.304655732902611,0.98008967972789,1.08517601523938,-0.397527361235352,-0.8625087710290201,0.1001147659600573,0,0
HUB,Xây lắp Huế,HOSE,Công nghiệp,2021,-0.1563804634585414,-0.2345065313026011,-0.0571898735496454,-0.5136822545046529,0.1852075833180558,-0.155310307899477,0,0
HVH,Đầu tư và Công nghệ HVC,HOSE,Công nghiệp,2021,-0.2263217348209266,-0.257717284613039,-0.30169932393042,-0.6661439900724675,-0.5574207401521213,-0.4018606147177949,0,0
HVX,Xi măng Vicem Hải Vân,HOSE,Công nghiệp,2021,-0.408455543834419,-0.1733663923195946,0.9688133961819068,-0.3964859357912979,-0.568683753015531,-0.1156356457557871,0,0
